question_text;answer_text;is_correct
What is the penalty for passing a school bus illegally?;"There is no specific rule; use personal judgment.";0
How should you handle an aggressive driver?;Do whatever seems safest at the moment.;0
How should you handle an aggressive driver?;Avoid eye contact, don't engage, and report dangerous behavior to authorities.;1
How should you handle an aggressive driver?;"There is no specific rule; use personal judgment.";0
How should you handle an aggressive driver?;Follow other drivers' behavior rather than signs or rules.;0
What should you do in a road rage situation?;Follow other drivers' behavior rather than signs or rules.;0
What should you do in a road rage situation?;"There is no specific rule; use personal judgment.";0
What should you do in a road rage situation?;Do whatever seems safest at the moment.;0
What should you do in a road rage situation?;Stay calm, avoid confrontation, and call 911 if threatened.;1
When is it legal to drive in the left lane on a multi-lane highway?;"There is no specific rule; use personal judgment.";0
When is it legal to drive in the left lane on a multi-lane highway?;When passing other vehicles or when traffic conditions require it.;1
When is it legal to drive in the left lane on a multi-lane highway?;Follow other drivers' behavior rather than signs or rules.;0
When is it legal to drive in the left lane on a multi-lane highway?;Do whatever seems safest at the moment.;0
What should you do if you're being tailgated?;Do whatever seems safest at the moment.;0
What should you do if you're being tailgated?;Maintain your speed, gradually slow down to encourage passing, and pull over if safe.;1
What should you do if you're being tailgated?;Follow other drivers' behavior rather than signs or rules.;0
What should you do if you're being tailgated?;"There is no specific rule; use personal judgment.";0
What is the proper procedure for changing lanes?;Follow other drivers' behavior rather than signs or rules.;0
What is the proper procedure for changing lanes?;Do whatever seems safest at the moment.;0
What is the proper procedure for changing lanes?;"There is no specific rule; use personal judgment.";0
What is the proper procedure for changing lanes?;Check mirrors, signal, check blind spots, and move over when safe.;1
When should you dim your headlights?;Stop immediately even if you are already in the intersection.;0
When should you dim your headlights?;"Continue through without slowing; yellow means keep moving.";0
When should you dim your headlights?;When approaching oncoming traffic within 500 feet or following within 200 feet.;1
When should you dim your headlights?;Speed up to clear the intersection before it changes.;0
What should you do if you encounter a funeral procession?;Do whatever seems safest at the moment.;0
What should you do if you encounter a funeral procession?;Follow other drivers' behavior rather than signs or rules.;0
What should you do if you encounter a funeral procession?;"There is no specific rule; use personal judgment.";0
What should you do if you encounter a funeral procession?;Yield the right-of-way and do not break into the procession.;1
What is the penalty for littering from a vehicle?;Follow other drivers' behavior rather than signs or rules.;0
What is the penalty for littering from a vehicle?;Do whatever seems safest at the moment.;0
What is the penalty for littering from a vehicle?;"Fines and possible community service; amounts vary by type and size of litter.";1
What is the penalty for littering from a vehicle?;"There is no specific rule; use personal judgment.";0
When must you report a traffic accident?;Follow other drivers' behavior rather than signs or rules.;0
When must you report a traffic accident?;Immediately if there are injuries, deaths, or significant property damage.;1
When must you report a traffic accident?;Do whatever seems safest at the moment.;0
When must you report a traffic accident?;"There is no specific rule; use personal judgment.";0
What information must you exchange after an accident?;Do whatever seems safest at the moment.;0
What information must you exchange after an accident?;"There is no specific rule; use personal judgment.";0
What information must you exchange after an accident?;Driver's license information, insurance information, vehicle registration, and contact information.;1
What information must you exchange after an accident?;Follow other drivers' behavior rather than signs or rules.;0
